date,ticker,price,sp500_price,risk_free_rate,market_excess,stock_excess
20100930,901855ab,51.57,1141.2,1.00E-04,0.036755941,0.038488327
20101029,901855ab,53.56,1183.26,1.00E-04,-0.002390283,-0.042855788
20101130,901855ab,51.27,1180.55,1.00E-04,0.065200072,0.023500546
20101231,901855ab,52.48,1257.64,1.00E-04,0.02254559,0.056683537
20110131,901855ab,55.46,1286.12,1.00E-04,0.031856583,-0.000821241
20110228,901855ab,55.42,1327.22,1.00E-04,-0.001147302,-0.020309311
20110331,901855ab,54.3,1325.83,1.00E-04,0.028495358,0.030018416
20110429,901855ab,55.93,1363.61,0,-0.013500928,0.008403361
20110531,901855ab,56.4,1345.2,0,-0.018257508,-0.065425532
20110630,901855ab,52.71,1320.64,0,-0.021474437,0.02693986
20110729,901855ab,54.13,1292.28,0,-0.056891098,-0.012108129
20110831,901855ab,53.48,1218.89,1.00E-04,-0.071762013,-0.076290202
20110930,901855ab,49.4,1131.42,0,0.107723038,0.125708502
20111031,901855ab,55.61,1253.3,0,-0.005058645,-0.051249775
20111130,901855ab,52.76,1246.96,0,0.008532752,0.044920394
20111230,901855ab,55.13,1257.6,0,0.043583015,0.057681843
20120131,901855ab,58.31,1312.41,0,0.04058945,-0.040987824
20120229,901855ab,55.92,1365.68,0,0.031332377,0.021101574
20120330,901855ab,57.1,1408.47,0,-0.007497497,0.029597198
20120430,901855ab,58.79,1397.91,0,-0.062750671,0.000410291
20120531,901855ab,58.82,1310.33,1.00E-04,0.039554921,0.073104386
20120629,901855ab,63.12,1362.16,0,0.012597639,0.065430925
20120731,901855ab,67.25,1379.32,0,0.019663362,-0.026271004
20120831,901855ab,65.49,1406.58,1.00E-04,0.02413609,-0.049573202
20120928,901855ab,62.25,1440.67,1.00E-04,-0.019889404,0.016285542
20121031,901855ab,63.27,1412.16,1.00E-04,0.002746703,0.005906006
20121130,901855ab,63.65,1416.18,1.00E-04,0.006968311,0.016710683
20121231,901855ab,64.72,1426.19,1.00E-04,0.050428064,0.024258344
20130131,901855ab,66.29,1498.11,0,0.011060603,0.06773269
20130228,901855ab,70.78,1514.68,0,0.035987799,0.034190449
20130328,901855ab,73.2,1569.19,0,0.018085764,0.08784153
20130430,901855ab,79.63,1597.57,0,0.020762783,-0.10372975
20130531,901855ab,71.37,1630.74,0,-0.014999325,-0.026761945
20130628,901855ab,69.46,1606.28,0,0.049462111,-0.053556003
20130731,901855ab,65.74,1685.73,0,-0.031298013,-0.052935808
20130830,901855ab,62.26,1632.97,0,0.029749475,-0.012206874
20130930,901855ab,61.5,1681.55,0,0.04459576,0.060813008
20131031,901855ab,65.24,1756.54,0,0.028049461,-0.128908645
20131129,901855ab,56.83,1805.81,0,0.023562833,0.007918353
20131231,901855ab,57.28,1848.36,0,-0.035582895,0.089210894
20140131,901855ab,62.39,1782.59,0,0.043117038,0.000641128
20140228,901855ab,62.43,1859.45,0,0.006932157,-0.029793369
20140331,901855ab,60.57,1872.34,0,0.006200797,0.090969127
20140430,901855ab,66.08,1883.95,0,0.021030282,0.010895884
20140530,901855ab,66.8,1923.57,0,0.019058313,-0.040419162
20140630,901855ab,64.1,1960.23,0,-0.015079863,-0.009360374
20140731,901855ab,63.5,1930.67,0,0.037655322,0.035905512
20140829,901855ab,65.78,2003.37,0,-0.015513859,-0.058224384
20140930,901855ab,61.95,1972.29,0,0.023201456,0.105891848
20141031,901855ab,68.51,2018.05,0,0.024533584,0.044373084
20141128,901855ab,71.55,2067.56,0,-0.004188512,0.002096436
20141231,901855ab,71.7,2058.9,0,-0.031040847,0.113110181
20150130,901855ab,79.81,1994.99,0,0.054892506,-0.066908909
20150227,901855ab,74.47,2104.5,0,-0.017396056,-0.019470928
20150331,901855ab,73.02,2067.89,0,0.008520763,-0.056422898
20150430,901855ab,68.9,2085.51,0,0.010491439,-0.034542816
20150529,901855ab,66.52,2107.39,0,-0.021011773,-0.066596512
20150630,901855ab,62.09,2063.11,0,0.01974204,0.080528265
20150731,901855ab,67.09,2103.84,0,-0.062580805,-0.179907587
20150831,901855ab,55.02,1972.18,0,-0.02644282,0.018902217
20150930,901855ab,56.06,1920.03,0,0.082983078,-0.041740992
20151030,901855ab,53.72,2079.36,0,0.000504963,-0.007073716
20151130,901855ab,53.34,2080.41,0,-0.017630198,0.057830259
20151231,901855ab,56.43,2043.94,1.00E-04,-0.050835344,-0.019770388
20160129,901855ab,55.32,1940.24,1.00E-04,-0.004328355,0.006126826
20160229,901855ab,55.67,1932.23,2.00E-04,0.065791109,0.130750243
20160331,901855ab,62.96,2059.74,2.00E-04,0.00259937,-0.013441804
20160429,901855ab,62.12,2065.3,1.00E-04,0.015229492,0.067672054
20160531,901855ab,66.33,2096.96,1.00E-04,0.000706074,0.097644113
20160630,901855ab,72.82,2098.86,2.00E-04,0.035409807,0.04566652
20160729,901855ab,76.16,2173.6,2.00E-04,-0.001419176,-0.04602458
20160831,901855ab,72.67,2170.95,2.00E-04,-0.001434483,-0.028272107
20160930,901855ab,70.63,2168.27,2.00E-04,-0.019625625,-0.040975874
20161031,901855ab,67.75,2126.15,2.00E-04,0.034074447,-0.108291882
20161130,901855ab,60.42,2198.81,1.00E-04,0.017900754,0.034456703
20161230,901855ab,62.52,2238.83,3.00E-04,0.017484341,-0.013995649
20170131,901855ab,61.67,2278.87,4.00E-04,0.036798261,0.054407848
20170228,901855ab,65.05,2363.64,4.00E-04,-0.00068923,-0.000453728
20170331,901855ab,65.04,2362.72,3.00E-04,0.008591217,-0.016336408
20170428,901855ab,64.01,2384.2,5.00E-04,0.01097621,0.038143946
20170531,901855ab,66.49,2411.8,6.00E-04,0.004213832,0.044369168
20170630,901855ab,69.48,2423.41,6.00E-04,0.018648769,-0.031356304
20170731,901855ab,67.35,2470.3,7.00E-04,-0.000353508,0.015284113
20170831,901855ab,68.44,2471.65,9.00E-04,0.018402895,-0.04926353
20170929,901855ab,65.13,2519.36,9.00E-04,0.021288175,-0.0374423
20171031,901855ab,62.75,2575.26,9.00E-04,0.027282601,0.019279681
20171130,901855ab,64.01,2647.58,8.00E-04,0.00893162,-0.063390236
20171229,901855ab,60.01,2673.61,9.00E-04,0.055078725,-0.068422113
20180131,901855ab,55.97,2823.81,0.0011,-0.04004738,-0.137780364
20180228,901855ab,48.32,2713.83,0.0011,-0.028084514,0.023841391
20180329,901855ab,49.53,2640.87,0.0012,0.001318801,0.036758692
20180430,901855ab,51.42,2648.05,0.0014,0.020208353,0.061610502
20180531,901855ab,54.66,2705.27,0.0014,0.0034424,0.040495353
20180629,901855ab,56.95,2718.37,0.0014,0.034421586,-0.01160878
20180731,901855ab,56.38,2816.29,0.0016,0.028663219,0.060301383
20180831,901855ab,59.87,2901.52,0.0016,0.002794301,-0.09319868
20180928,901855ab,54.38,2913.98,0.0015,-0.071303359,0.065404156
20181031,901855ab,58.04,2711.74,0.0019,0.016059382,0.092100758
20181130,901855ab,63.49,2760.17,0.0018,-0.093676956,-0.079077508
20181231,901855ab,58.59,2506.85,0.0019,0.076584405,0.098599778
20190131,901855ab,64.49,2704.1,0.0021,0.02792893,-0.028780927
20190228,901855ab,62.75,2784.49,0.0018,0.016024288,0.01499243
20190329,901855ab,63.81,2834.4,0.0019,0.037213435,-0.044413117
20190430,901855ab,61.11,2945.83,0.0021,-0.067877726,0.050100949
20190531,901855ab,64.3,2752.06,0.0021,0.067130183,0.061186003
20190628,901855ab,68.35,2941.76,0.0018,0.011228195,-0.017408413
20190731,901855ab,67.29,2980.38,0.0019,-0.019691653,0.0890524
20190830,901855ab,73.39,2926.46,0.0016,0.015381168,-0.0067053
20190930,901855ab,73.03,2976.74,0.0018,0.018931747,-0.110085513
20191031,901855ab,65.1,3037.56,0.0015,0.032847064,-0.105501075
20191129,901855ab,58.31,3140.98,0.0012,0.027189803,-0.011175339
20191231,901855ab,57.74,3230.78,0.0014,-0.667612775,-0.62729477
20100129,cd4d6c33,21.52,1073.87,0,0.028513693,-0.197026022
20100226,cd4d6c33,17.28,1104.49,0,0.058696368,0.029992593
20100331,cd4d6c33,17.8,1169.43,1.00E-04,0.014659327,0.028551685
20100430,cd4d6c33,18.31,1186.69,1.00E-04,-0.082075916,-0.121891371
20100528,cd4d6c33,16.08,1089.41,1.00E-04,-0.053982377,-0.024353731
20100630,cd4d6c33,15.69,1030.71,1.00E-04,0.068677833,-0.000737349
20100730,cd4d6c33,15.68,1101.6,1.00E-04,-0.047549165,-0.181860204
20100831,cd4d6c33,12.83,1049.33,1.00E-04,0.087451104,0.009253079
20100930,cd4d6c33,12.95,1141.2,1.00E-04,0.036755941,-0.09044749
20101029,cd4d6c33,11.78,1183.26,1.00E-04,-0.002390283,0.068660611
20101130,cd4d6c33,12.59,1180.55,1.00E-04,0.065200072,-0.05411112
20101231,cd4d6c33,11.91,1257.64,1.00E-04,0.02254559,0.051117464
20110131,cd4d6c33,12.52,1286.12,1.00E-04,0.031856583,0.213158786
20110228,cd4d6c33,15.19,1327.22,1.00E-04,-0.001147302,0.101940816
20110331,cd4d6c33,16.74,1325.83,1.00E-04,0.028495358,0.032855436
20110429,cd4d6c33,17.29,1363.61,0,-0.013500928,-0.063042221
20110531,cd4d6c33,16.2,1345.2,0,-0.018257508,-0.009876543
20110630,cd4d6c33,16.04,1320.64,0,-0.021474437,-0.067331671
20110729,cd4d6c33,14.96,1292.28,0,-0.056891098,0.010595187
